ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
238909_at	S100 calcium binding protein A10(S100A10)	Homo sapiens				GO:0001765~membrane raft assembly,GO:0006900~membrane budding,GO:0043547~positive regulation of GTPase activity,GO:0051099~positive regulation of binding,GO:0051290~protein heterotetramerization,GO:0051496~positive regulation of stress fiber assembly,GO:0051894~positive regulation of focal adhesion assembly,GO:0090002~establishment of protein localization to plasma membrane,GO:1900026~positive regulation of substrate adhesion-dependent cell spreading,	GO:0016021~integral component of membrane,GO:0019897~extrinsic component of plasma membrane,GO:0045121~membrane raft,GO:0070062~extracellular exosome,	GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0008289~lipid binding,GO:0042803~protein homodimerization activity,GO:0044325~ion channel binding,	IPR001751:S100/Calbindin-D9k, conserved site,IPR011992:EF-hand-like domain,IPR013787:S100/CaBP-9k-type, calcium binding, subdomain,				SM01394:SM01394,	3D-structure,Acetylation,Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,	chain:Protein S100-A10,helix,modified residue,region of interest:Ancestral calcium site,strand,
201851_at	SH3 domain containing GRB2 like 1, endophilin A2(SH3GL1)	Homo sapiens				GO:0006897~endocytosis,GO:0007165~signal transduction,GO:0007417~central nervous system development,GO:0098609~cell-cell adhesion,	GO:0002102~podosome,GO:0005737~cytoplasm,GO:0005913~cell-cell adherens junction,GO:0031901~early endosome membrane,GO:0042995~cell projection,	GO:0005515~protein binding,GO:0008289~lipid binding,GO:0019902~phosphatase binding,GO:0042802~identical protein binding,GO:0051020~GTPase binding,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR001452:Src homology-3 domain,IPR004148:BAR domain,IPR027267:Arfaptin homology (AH) domain/BAR domain,	hsa04144:Endocytosis,	601626~Leukemia, acute myeloid,		SM00326:SH3,SM00721:BAR,	Alternative splicing,Cell junction,Cell projection,Chromosomal rearrangement,Coiled coil,Complete proteome,Cytoplasm,Endocytosis,Endosome,Lipid-binding,Membrane,Phosphoprotein,Proteomics identification,Proto-oncogene,Reference proteome,SH3 domain,	chain:Endophilin-A2,domain:BAR,domain:SH3,modified residue,region of interest:Interaction with ARC,region of interest:Membrane-binding amphipathic helix,region of interest:Required for dimerization upon membrane association,site:Breakpoint for translocation to form MLL- EEN oncogene,
204639_at	adenosine deaminase(ADA)	Homo sapiens				GO:0001666~response to hypoxia,GO:0001821~histamine secretion,GO:0001829~trophectodermal cell differentiation,GO:0001889~liver development,GO:0001890~placenta development,GO:0002314~germinal center B cell differentiation,GO:0002636~positive regulation of germinal center formation,GO:0002686~negative regulation of leukocyte migration,GO:0002906~negative regulation of mature B cell apoptotic process,GO:0006154~adenosine catabolic process,GO:0006157~deoxyadenosine catabolic process,GO:0007568~aging,GO:0009168~purine ribonucleoside monophosphate biosynthetic process,GO:0010460~positive regulation of heart rate,GO:0030890~positive regulation of B cell proliferation,GO:0032261~purine nucleotide salvage,GO:0033089~positive regulation of T cell differentiation in thymus,GO:0033197~response to vitamin E,GO:0033632~regulation of cell-cell adhesion mediated by integrin,GO:0042110~T cell activation,GO:0042323~negative regulation of circadian sleep/wake cycle, non-REM sleep,GO:0042493~response to drug,GO:0042542~response to hydrogen peroxide,GO:0043101~purine-containing compound salvage,GO:0043103~hypoxanthine salvage,GO:0043278~response to morphine,GO:0045987~positive regulation of smooth muscle contraction,GO:0046061~dATP catabolic process,GO:0046101~hypoxanthine biosynthetic process,GO:0046103~inosine biosynthetic process,GO:0046111~xanthine biosynthetic process,GO:0046638~positive regulation of alpha-beta T cell differentiation,GO:0048286~lung alveolus development,GO:0048541~Peyer's patch development,GO:0048566~embryonic digestive tract development,GO:0050728~negative regulation of inflammatory response,GO:0050850~positive regulation of calcium-mediated signaling,GO:0050862~positive regulation of T cell receptor signaling pathway,GO:0060169~negative regulation of adenosine receptor signaling pathway,GO:0060407~negative regulation of penile erection,GO:0070244~negative regulation of thymocyte apoptotic process,GO:0070256~negative regulation of mucus secretion,	GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005764~lysosome,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0016020~membrane,GO:0030054~cell junction,GO:0032839~dendrite cytoplasm,GO:0043025~neuronal cell body,GO:0060205~cytoplasmic membrane-bounded vesicle lumen,	GO:0001883~purine nucleoside binding,GO:0004000~adenosine deaminase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0019239~deaminase activity,	IPR001365:Adenosine/AMP deaminase domain,IPR006330:Adenosine/adenine deaminase,IPR006650:Adenosine/AMP deaminase active site,	hsa00230:Purine metabolism,hsa01100:Metabolic pathways,hsa05340:Primary immunodeficiency,	102700~Adenosine deaminase deficiency, partial,102700~Severe combined immunodeficiency due to ADA deficiency,			3D-structure,Acetylation,Cell adhesion,Cell junction,Cell membrane,Complete proteome,Cytoplasm,Cytoplasmic vesicle,Direct protein sequencing,Disease mutation,Hereditary hemolytic anemia,Hydrolase,Membrane,Metal-binding,Nucleotide metabolism,Polymorphism,Proteomics identification,Reference proteome,SCID,Zinc,	chain:Adenosine deaminase,helix,modified residue,sequence conflict,sequence variant,strand,turn,
203984_s_at	caspase 9(CASP9)	Homo sapiens	150.caspase_and_NFKB_activation,36.Death_of_Key_Intracellular_Targets,69.Survival_signaling_BH3-Bad,72.IAP_interaction_with_cell_death_pathways,86.Apoptosis_Nematode&_Vert,	h_aktPathway:AKT Signaling Pathway,h_caspasePathway:Caspase Cascade in Apoptosis,h_chemicalPathway:Apoptotic Signaling in Response to DNA Damage,h_d4gdiPathway:D4-GDI Signaling Pathway,h_deathPathway:Induction of apoptosis through DR3 and DR4/5 Death Receptors ,h_hivnefPathway:HIV-I Nef: negative effector of Fas and TNF,h_hsp27Pathway:Stress Induction of HSP Regulation,h_mitochondriaPathway:Role of Mitochondria in Apoptotic Signaling,h_rasPathway:Ras Signaling Pathway,h_tffPathway:Trefoil Factors Initiate  Mucosal Healing,h_WNVpathway:West Nile Virus,		GO:0006508~proteolysis,GO:0006915~apoptotic process,GO:0006974~cellular response to DNA damage stimulus,GO:0007568~aging,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,GO:0008635~activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,GO:0030220~platelet formation,GO:0032025~response to cobalt ion,GO:0032355~response to estradiol,GO:0032496~response to lipopolysaccharide,GO:0034349~glial cell apoptotic process,GO:0034644~cellular response to UV,GO:0042770~signal transduction in response to DNA damage,GO:0042981~regulation of apoptotic process,GO:0043525~positive regulation of neuron apoptotic process,GO:0046677~response to antibiotic,GO:0071549~cellular response to dexamethasone stimulus,GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand,GO:2001020~regulation of response to DNA damage stimulus,	GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0043293~apoptosome,	GO:0004197~cysteine-type endopeptidase activity,GO:0005515~protein binding,GO:0008047~enzyme activator activity,GO:0008233~peptidase activity,GO:0017124~SH3 domain binding,GO:0019901~protein kinase binding,GO:0097153~cysteine-type endopeptidase activity involved in apoptotic process,	IPR001309:Peptidase C14, ICE, catalytic subunit p20,IPR001315:Caspase Recruitment,IPR002138:Peptidase C14, caspase non-catalytic subunit p10,IPR011029:Death-like domain,IPR015917:Peptidase C14, caspase precursor p45, core,IPR016129:Peptidase C14, ICE, catalytic subunit p20, active site,IPR017350:Caspase, interleukin-1 beta convertase,	hsa04115:p53 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04210:Apoptosis,hsa04370:VEGF signaling pathway,hsa04919:Thyroid hormone signaling pathway,hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05014:Amyotrophic lateral sclerosis (ALS),hsa05016:Huntington's disease,hsa05134:Legionellosis,hsa05145:Toxoplasmosis,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05164:Influenza A,hsa05200:Pathways in cancer,hsa05210:Colorectal cancer,hsa05212:Pancreatic cancer,hsa05213:Endometrial cancer,hsa05215:Prostate cancer,hsa05222:Small cell lung cancer,hsa05223:Non-small cell lung cancer,hsa05416:Viral myocarditis,		PIRSF038001:caspase, interleukin-1 beta convertase type,	SM00114:CARD,SM00115:CASc,	3D-structure,Alternative splicing,Apoptosis,Complete proteome,Hydrolase,Phosphoprotein,Polymorphism,Protease,Proteomics identification,Reference proteome,Thiol protease,Zymogen,	chain:Caspase-9 subunit p10,chain:Caspase-9 subunit p35,domain:CARD,helix,modified residue,sequence conflict,sequence variant,splice variant,strand,turn,
235605_at	castor zinc finger 1(CASZ1)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007417~central nervous system development,GO:0045664~regulation of neuron differentiation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0043231~intracellular membrane-bounded organelle,	GO:0003677~DNA binding,GO:0046872~metal ion binding,	IPR007087:Zinc finger, C2H2,IPR015880:Zinc finger, C2H2-like,				SM00355:ZnF_C2H2,	Alternative splicing,Complete proteome,Developmental protein,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Zinc finger protein castor homolog 1,compositionally biased region:Ala-rich,compositionally biased region:Asp-rich,compositionally biased region:Glu-rich,compositionally biased region:Pro-rich,sequence conflict,splice variant,zinc finger region:C2H2-type 1,zinc finger region:C2H2-type 2,zinc finger region:C2H2-type 3,zinc finger region:C2H2-type 4,zinc finger region:C2H2-type 5,zinc finger region:C2H2-type 6,zinc finger region:C2H2-type 7,zinc finger region:C2H2-type 8,
213981_at	catechol-O-methyltransferase(COMT)	Homo sapiens				GO:0006584~catecholamine metabolic process,GO:0007565~female pregnancy,GO:0007612~learning,GO:0007614~short-term memory,GO:0008210~estrogen metabolic process,GO:0014070~response to organic cyclic compound,GO:0016036~cellular response to phosphate starvation,GO:0032259~methylation,GO:0032496~response to lipopolysaccharide,GO:0032502~developmental process,GO:0035814~negative regulation of renal sodium excretion,GO:0042135~neurotransmitter catabolic process,GO:0042420~dopamine catabolic process,GO:0042493~response to drug,GO:0045963~negative regulation of dopamine metabolic process,GO:0048265~response to pain,GO:0048609~multicellular organismal reproductive process,GO:0048662~negative regulation of smooth muscle cell proliferation,GO:0050668~positive regulation of homocysteine metabolic process,GO:0051930~regulation of sensory perception of pain,	GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030424~axon,GO:0043197~dendritic spine,GO:0044297~cell body,GO:0045211~postsynaptic membrane,GO:0070062~extracellular exosome,	GO:0000287~magnesium ion binding,GO:0005515~protein binding,GO:0008168~methyltransferase activity,GO:0008171~O-methyltransferase activity,GO:0016206~catechol O-methyltransferase activity,	IPR002935:O-methyltransferase, family 3,IPR017128:Catechol O-methyltransferase, eukaryotic,	hsa00140:Steroid hormone biosynthesis,hsa00350:Tyrosine metabolism,hsa01100:Metabolic pathways,hsa04728:Dopaminergic synapse,	167870~Panic disorder, susceptibility to,181500~Schizophrenia, susceptibility to,	PIRSF037177:catechol O-methyltransferase, eukaryotic type,		3D-structure,Alternative initiation,Catecholamine metabolism,Cell membrane,Complete proteome,Cytoplasm,Direct protein sequencing,Magnesium,Membrane,Metal-binding,Methyltransferase,Neurotransmitter degradation,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,S-adenosyl-L-methionine,Signal-anchor,Transferase,Transmembrane,Transmembrane helix,	binding site:S-adenosyl-L-methionine,binding site:S-adenosyl-L-methionine; via amide nitrogen,binding site:Substrate,chain:Catechol O-methyltransferase,helix,metal ion-binding site:Magnesium,modified residue,region of interest:S-adenosyl-L-methionine binding,sequence conflict,sequence variant,splice variant,strand,transmembrane region,
225096_at	coordinator of PRMT5 and differentiation stimulator(COPRS)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007517~muscle organ development,GO:0043985~histone H4-R3 methylation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005886~plasma membrane,	GO:0005515~protein binding,GO:0042393~histone binding,						Acetylation,Chromatin regulator,Complete proteome,Direct protein sequencing,Myogenesis,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transcription,Transcription regulation,	chain:Cooperator of PRMT5,modified residue,sequence variant,
201325_s_at	epithelial membrane protein 1(EMP1)	Homo sapiens				GO:0007275~multicellular organism development,GO:0008219~cell death,GO:0008283~cell proliferation,GO:0008544~epidermis development,GO:0016049~cell growth,GO:0032060~bleb assembly,	GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0005515~protein binding,	IPR003932:Epithelial membrane protein EMP-1,IPR004031:PMP-22/EMP/MP20/Claudin,IPR004032:PMP-22/EMP/MP20,					Alternative splicing,Complete proteome,Glycoprotein,Membrane,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,	chain:Epithelial membrane protein 1,glycosylation site:N-linked (GlcNAc...),sequence variant,transmembrane region,
204257_at	fatty acid desaturase 3(FADS3)	Homo sapiens				GO:0006629~lipid metabolic process,GO:0006636~unsaturated fatty acid biosynthetic process,GO:0055114~oxidation-reduction process,	GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0016491~oxidoreductase activity,	IPR001199:Cytochrome b5-like heme/steroid binding domain,IPR005804:Fatty acid desaturase, type 1,IPR012171:Fatty acid/sphingolipid desaturase,			PIRSF015921:fatty acid desaturase/sphingolipid desaturase,	SM01117:SM01117,	Complete proteome,Electron transport,Endoplasmic reticulum,Fatty acid biosynthesis,Fatty acid metabolism,Lipid biosynthesis,Lipid metabolism,Membrane,Oxidoreductase,Polymorphism,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:Fatty acid desaturase 3,domain:Cytochrome b5 heme-binding,sequence variant,short sequence motif:Histidine box-1,short sequence motif:Histidine box-2,short sequence motif:Histidine box-3,topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,
225703_at	fibrosin like 1(FBRSL1)	Homo sapiens						GO:0044822~poly(A) RNA binding,	IPR023246:Autism susceptibility gene 2 protein,					Complete proteome,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:Fibrosin-1-like protein,compositionally biased region:Pro-rich,modified residue,sequence conflict,sequence variant,
